WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000090682 0 0 0 1 0 0 0 0
ENSMUSG00000044457 0 0 8 0 0 0 0 0
ENSMUSG00000041144 14 10 4 62 0 0 1 0
ENSMUSG00000070199 0 0 0 0 0 0 0 0
ENSMUSG00000078595 0 0 0 0 0 0 0 0
ENSMUSG00000025986 2599 2311 2407 2375 82 55 41 74
ENSMUSG00000081185 21 41 44 27 0 0 1 1
ENSMUSG00000080510 0 0 0 0 0 0 0 0
ENSMUSG00000088017 0 0 0 0 0 0 0 0
ENSMUSG00000064943 0 0 0 0 0 0 0 0
ENSMUSG00000092790 0 0 0 0 0 0 0 0
ENSMUSG00000051616 0 0 0 0 0 0 0 0
ENSMUSG00000084531 0 0 0 0 0 0 0 0
ENSMUSG00000026109 0 0 0 0 0 0 0 0
ENSMUSG00000092906 0 0 0 0 0 0 0 0
ENSMUSG00000045954 1128 946 1601 1181 22 26 32 24
ENSMUSG00000026107 567 559 504 738 22 22 13 30
ENSMUSG00000018417 75 86 90 67 7 4 6 3
ENSMUSG00000072324 99 1 35 3 0 0 1 0
ENSMUSG00000062939 2096 2160 1922 2025 33 45 42 49
ENSMUSG00000078291 17 18 7 9 1 1 0 0
ENSMUSG00000026104 4312 4121 4223 4070 90 69 85 92
ENSMUSG00000026103 6586 7123 5796 6831 140 178 158 197
ENSMUSG00000065192 0 0 0 0 0 0 0 0
ENSMUSG00000002881 2676 2713 2298 2381 62 52 51 63
ENSMUSG00000043015 1084 1315 931 1069 14 18 14 19
ENSMUSG00000041439 1666 1708 1560 2064 27 56 53 68
ENSMUSG00000026102 1073 1208 922 1181 21 31 24 13
ENSMUSG00000041426 1205 1380 1177 906 22 15 11 30
ENSMUSG00000089802 0 0 2 0 0 1 2 1
ENSMUSG00000043629 14 30 22 31 0 0 2 1
ENSMUSG00000026100 0 0 0 0 0 0 0 0
ENSMUSG00000089334 0 0 0 0 0 0 0 0
ENSMUSG00000060715 0 8 0 0 0 0 0 0
ENSMUSG00000026098 597 503 532 431 13 10 13 26
ENSMUSG00000026097 971 866 915 862 12 9 16 13
ENSMUSG00000026096 499 487 387 481 6 7 3 8
ENSMUSG00000026095 2805 2712 2728 2753 39 42 38 44
ENSMUSG00000092657 0 0 0 0 0 0 0 0
ENSMUSG00000067440 0 0 0 0 0 0 0 0
ENSMUSG00000026094 1598 1830 1375 1456 25 51 20 46
ENSMUSG00000042807 12 8 0 9 1 1 0 3
ENSMUSG00000087949 0 0 0 0 0 0 0 0
ENSMUSG00000064498 0 0 0 0 0 0 0 0
ENSMUSG00000025983 28 30 3 48 1 3 3 0
ENSMUSG00000041303 864 941 903 853 26 25 26 34
ENSMUSG00000073678 12 12 8 9 1 0 2 0
ENSMUSG00000070889 27 14 56 36 2 4 4 0
ENSMUSG00000052331 1547 2011 2070 2407 44 65 75 104
ENSMUSG00000089245 3 4 0 0 0 0 0 0
ENSMUSG00000025982 17247 19689 16319 20845 321 344 329 477
ENSMUSG00000025981 388 276 355 330 13 10 6 12
ENSMUSG00000025980 7062 4847 5083 3576 107 84 85 62
ENSMUSG00000073676 3220 2355 2373 1769 64 38 36 35
ENSMUSG00000089670 322 306 339 449 12 8 3 10
ENSMUSG00000025979 1325 1361 1400 1294 22 19 13 32
ENSMUSG00000061863 3 3 0 1 0 2 2 0
ENSMUSG00000025978 117 155 77 125 7 9 1 2
ENSMUSG00000073675 9 8 0 0 0 0 0 0
ENSMUSG00000046994 1117 1149 947 1022 22 27 24 23
ENSMUSG00000025977 38 20 51 40 0 2 0 1
ENSMUSG00000089944 323 212 222 239 8 7 1 8
ENSMUSG00000038349 182 213 252 423 8 7 11 25
ENSMUSG00000073674 853 713 756 693 7 12 16 20
ENSMUSG00000045336 0 0 0 0 0 0 0 0
ENSMUSG00000038331 100 135 88 73 5 7 1 3
ENSMUSG00000087022 0 0 0 0 0 0 0 0
ENSMUSG00000093027 0 0 0 0 0 0 0 0
ENSMUSG00000084958 65 39 55 12 0 1 1 1
ENSMUSG00000038323 443 444 531 380 5 6 8 7
ENSMUSG00000048495 230 298 301 244 4 5 4 1
ENSMUSG00000025971 482 453 365 311 2 7 4 6
ENSMUSG00000077776 0 0 0 0 0 0 0 0
ENSMUSG00000088353 0 0 0 0 0 0 0 0
ENSMUSG00000038305 24 25 57 28 1 1 2 0
ENSMUSG00000089176 0 0 0 0 0 0 0 0
ENSMUSG00000091283 0 0 0 0 0 0 0 0
ENSMUSG00000054770 978 1143 969 1240 12 20 17 28
ENSMUSG00000026039 416 414 344 398 5 9 15 20
ENSMUSG00000063558 13 17 0 22 1 0 2 0
ENSMUSG00000064294 0 4 0 0 0 0 0 0
ENSMUSG00000089275 0 0 0 0 0 0 0 0
ENSMUSG00000038242 10 3 0 0 0 0 0 0
ENSMUSG00000089822 0 0 0 0 0 0 0 0
ENSMUSG00000079554 7 2 10 0 0 0 0 1
ENSMUSG00000051223 7677 6645 7183 6328 123 99 128 111
ENSMUSG00000026034 8075 10895 8910 13427 132 184 172 284
ENSMUSG00000026035 939 676 875 635 15 8 6 17
ENSMUSG00000026036 1396 937 934 1029 42 24 18 26
ENSMUSG00000026037 2655 2284 1862 1838 37 30 41 52
ENSMUSG00000064701 0 7 5 5 0 0 0 1
ENSMUSG00000085054 36 58 30 25 1 0 4 5
ENSMUSG00000038174 1004 1336 996 1525 25 28 28 34
ENSMUSG00000026032 1982 1253 1793 1011 23 28 31 24
ENSMUSG00000059647 324 322 335 291 5 4 3 8
ENSMUSG00000047528 0 8 4 4 0 0 0 2
ENSMUSG00000026031 3065 3649 3641 5247 86 66 80 141
ENSMUSG00000026029 3663 3284 4376 3992 49 62 81 115
ENSMUSG00000026028 3631 3971 2911 3038 86 84 80 88
ENSMUSG00000026027 969 1006 705 789 11 18 20 19
ENSMUSG00000047383 0 0 0 0 0 0 0 1
ENSMUSG00000090590 0 0 0 0 0 0 0 0
ENSMUSG00000072295 3 9 0 0 0 0 0 0
ENSMUSG00000077616 0 0 0 0 0 0 0 0
